"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0G820","2020-04-12 00:00:00","29.000","23.000","0.400","19.900","0.960","1010.600","","1.000","-99.000","-99.000","-99.000","27.400","","19.600",""
"C0U600","2020-04-12 00:00:00","10.000","135.000","0.400","19.300","0.920","1012.000","","2.500","-99.000","-99.000","-99.000","24.300","","18.200",""
"C0U910","2020-04-12 00:00:00","17.000","275.000","0.500","19.900","0.940","1011.800","","4.000","-99.000","-99.000","-99.000","25.000","","18.000",""
"C0V630","2020-04-12 00:00:00","19.000","7.000","1.200","22.700","0.760","1011.200","","0.000","-99.000","-99.000","-99.000","26.300","","20.900",""
"C0D650","2020-04-12 00:00:00","97.000","203.000","1.800","17.800","0.950","1004.200","","21.500","-99.000","-99.000","-99.000","21.500","","16.500",""
"C0K510","2020-04-12 00:00:00","10.000","11.000","2.000","20.100","0.910","1012.500","","0.000","-99.000","-99.000","-99.000","28.300","","19.300",""
"C0V360","2020-04-12 00:00:00","94.000","0.000","0.100","20.500","0.880","1002.800","","0.000","-99.000","-99.000","-99.000","30.400","","16.400",""
"C0M780","2020-04-12 00:00:00","30.000","39.000","0.800","20.800","0.880","1011.100","","0.000","-99.000","-99.000","-99.000","29.100","","18.700",""
"C0K530","2020-04-12 00:00:00","12.000","20.000","2.300","20.300","0.930","1013.200","","1.500","-99.000","-99.000","-99.000","25.600","","19.700",""
"C0V750","2020-04-12 00:00:00","50.000","19.000","0.600","22.900","0.840","1009.000","","0.000","-99.000","-99.000","-99.000","28.800","","20.500",""
"C0T790","2020-04-12 00:00:00","2830.000","282.000","0.900","7.300","1.000","725.000","","14.500","-99.000","-99.000","-99.000","13.400","","5.500",""
"C0S730","2020-04-12 00:00:00","110.000","181.000","3.300","23.400","0.840","999.100","","0.000","-99.000","-99.000","-99.000","25.200","","20.000",""
"C0F0D0","2020-04-12 00:00:00","3171.000","159.000","3.100","4.600","1.000","695.500","","5.500","-99.000","-99.000","-99.000","11.000","","3.600",""
"C0F9X0","2020-04-12 00:00:00","166.000","44.000","3.400","17.800","0.990","-99.000","","3.500","-99.000","-99.000","-99.000","24.300","","17.800",""
"C0F9Q0","2020-04-12 00:00:00","149.000","5.000","1.300","18.300","1.000","996.700","","5.500","-99.000","-99.000","-99.000","23.600","","18.100",""
"C0E780","2020-04-12 00:00:00","160.000","139.000","1.100","17.900","1.000","996.900","","11.000","-99.000","-99.000","-99.000","23.900","","17.500",""
"C0U720","2020-04-12 00:00:00","1260.000","72.000","0.400","13.800","1.000","886.400","","5.000","-99.000","-99.000","-99.000","17.500","","11.000",""
"C0W140","2020-04-12 00:00:00","21.000","237.000","0.300","17.000","0.950","1013.900","","0.000","-99.000","-99.000","-99.000","20.400","","15.700",""
"C0SA80","2020-04-12 00:00:00","136.000","271.000","0.500","20.000","0.960","996.500","","0.000","-99.000","-99.000","-99.000","25.400","","17.500",""
"C0T960","2020-04-12 00:00:00","120.000","0.000","0.000","19.800","0.990","999.300","","0.500","-99.000","-99.000","-99.000","26.100","","16.100",""
"C0X320","2020-04-12 00:00:00","30.000","38.000","1.800","20.900","0.880","1009.700","","0.000","-99.000","-99.000","-99.000","29.400","","17.600",""
"C0UA50","2020-04-12 00:00:00","808.000","330.000","1.100","15.300","1.000","922.800","","3.500","-99.000","-99.000","-99.000","20.900","","14.500",""
"C0U860","2020-04-12 00:00:00","5.000","122.000","0.800","19.500","0.930","1013.400","","3.000","-99.000","-99.000","-99.000","24.900","","19.100",""
"C0F0C0","2020-04-12 00:00:00","983.000","37.000","0.700","15.000","0.990","905.000","","11.000","-99.000","-99.000","-99.000","18.800","","14.300",""
"C0D480","2020-04-12 00:00:00","223.000","0.000","0.000","16.700","0.990","989.000","","27.500","-99.000","-99.000","-99.000","20.600","","15.600",""
"C0K291","2020-04-12 00:00:00","8.000","7.000","3.200","20.800","0.920","1013.800","","0.000","-99.000","-99.000","-99.000","27.100","","19.300",""
"C0X170","2020-04-12 00:00:00","50.000","43.000","2.100","21.900","0.870","1007.400","","0.000","-99.000","-99.000","-99.000","30.200","","18.800",""
"C0AH30","2020-04-12 00:00:00","755.000","298.000","5.900","15.300","1.000","928.800","","17.500","11.000","291.000","","21.000","","15.200",""
"C0R130","2020-04-12 00:00:00","1040.000","256.000","2.000","17.700","0.920","896.900","","0.000","-99.000","-99.000","-99.000","23.600","","15.200",""
"C0M790","2020-04-12 00:00:00","15.000","14.000","2.100","20.200","0.910","1011.600","","0.000","-99.000","-99.000","-99.000","27.900","","19.200",""
"C0C590","2020-04-12 00:00:00","72.000","216.000","1.200","17.600","0.960","1006.300","","20.000","-99.000","-99.000","-99.000","21.800","","16.600",""
"C0G780","2020-04-12 00:00:00","27.000","33.000","1.200","19.900","0.960","1011.500","","2.000","-99.000","-99.000","-99.000","25.300","","19.600",""
"C0V660","2020-04-12 00:00:00","25.000","11.000","1.400","22.300","0.830","1011.000","","0.000","-99.000","-99.000","-99.000","28.900","","21.200",""
"C0W130","2020-04-12 00:00:00","18.000","4.000","3.000","20.700","0.880","1011.400","","0.000","-99.000","-99.000","-99.000","23.400","","19.000",""
"C0C700","2020-04-12 00:00:00","151.000","258.000","0.400","17.500","0.960","998.100","","18.000","-99.000","-99.000","-99.000","22.400","","16.500",""
